Gene,NSC_GFP,Neu_GFP
Ak2,Euchromatin,Unknown
Ak6,Euchromatin,Euchromatin
Ak8,Euchromatin,Euchromatin
Akap11,Unknown,Heterochromatin
Akap13,Unknown,Heterochromatin
Akap8,Euchromatin,Euchromatin
Akap8l,Euchromatin,Euchromatin
Akip1,Euchromatin,Unknown
Akirin1,Euchromatin,Euchromatin
Akt3,Unknown,Heterochromatin
Aktip,Heterochromatin,Unknown
Alas1,Euchromatin,Euchromatin
Alcam,Unknown,Heterochromatin
Aldh3a2,Unknown,Unknown
Aldh6a1,Unknown,Unknown
Aldh7a1,Unknown,Unknown
Aldoa,Euchromatin,Unknown
Alg1,Euchromatin,Euchromatin
Alg12,Euchromatin,Euchromatin
Alg14,Unknown,Unknown
Alg2,Unknown,Unknown
Alg5,Unknown,Unknown
Alk,Unknown,Unknown
Alkbh2,Euchromatin,Euchromatin
Alkbh5,Euchromatin,Euchromatin
Alkbh7,Euchromatin,Euchromatin
Alms1,Unknown,Unknown
Als2,Unknown,Unknown
Alx3,Euchromatin,Unknown
Alx4,Euchromatin,Unknown
Alyref2,Unknown,Heterochromatin
Amd2,Heterochromatin,Unknown
Amdhd2,Euchromatin,Euchromatin
Amer1,Unknown,Unknown
Amer2,Euchromatin,Unknown
Amer3,Euchromatin,Unknown
Amh,Euchromatin,Euchromatin
Ammecr1l,Unknown,Unknown
Amn,Euchromatin,Euchromatin
Ampd2,Euchromatin,Euchromatin
Amz1,Euchromatin,Euchromatin
Amz2,Euchromatin,Unknown
Anapc15,Euchromatin,Euchromatin
Anapc16,Euchromatin,Unknown
Anapc5,Unknown,Unknown
Angptl6,Euchromatin,Euchromatin
Ank1,Unknown,Unknown
Ankfy1,Heterochromatin,Heterochromatin
Ankhd1,Unknown,Unknown
Ankle2,Unknown,Unknown
Ankrd10,Unknown,Unknown
Ankrd13c,Unknown,Unknown
Ankrd13d,Euchromatin,Euchromatin
Ankrd16,Unknown,Unknown
Ankrd17,Unknown,Unknown
Ankrd24,Euchromatin,Euchromatin
Ankrd34a,Euchromatin,Euchromatin
Ankrd37,Unknown,Unknown
Ankrd39,Euchromatin,Euchromatin
Ankrd40,Unknown,Unknown
Ankrd42,Unknown,Unknown
Ankrd44,Unknown,Unknown
Ankrd45,Unknown,Unknown
Ankrd50,Unknown,Unknown
Ankrd9,Euchromatin,Euchromatin
Anks3,Euchromatin,Euchromatin
Ano10,Unknown,Unknown
Anp32e,Unknown,Euchromatin
Antkmt,Unknown,Unknown
Anxa11,Euchromatin,Unknown
Anxa5,Unknown,Unknown
Aopep,Unknown,Unknown
Ap1ar,Unknown,Unknown
Ap1g1,Unknown,Unknown
Ap1g2,Euchromatin,Euchromatin
Ap1m1,Euchromatin,Unknown
Ap1s2,Unknown,Unknown
