Gene,NSC_GFP,Neu_GFP
Coro1a,Euchromatin,Euchromatin
Coro2a,Euchromatin,Euchromatin
Cox14,Euchromatin,Unknown
Cox15,Unknown,Unknown
Cox16,Unknown,Unknown
Cox18,Unknown,Unknown
Cox20,Unknown,Unknown
Cox5a,Euchromatin,Euchromatin
Cox5b,Euchromatin,Unknown
Cox6a1,Euchromatin,Euchromatin
Cox7a2l,Unknown,Unknown
Cox7c,Heterochromatin,Unknown
Cox8a,Euchromatin,Euchromatin
Cpd,Unknown,Unknown
Cpeb1,Euchromatin,Euchromatin
Cpeb4,Heterochromatin,Heterochromatin
Cpne2,Euchromatin,Unknown
Cpne8,Unknown,Unknown
Cpox,Unknown,Unknown
Cpsf1,Euchromatin,Euchromatin
Cpsf2,Unknown,Unknown
Cpt2,Euchromatin,Unknown
Cracd,Unknown,Unknown
Cradd,Unknown,Unknown
Crbn,Heterochromatin,Unknown
Crcp,Euchromatin,Euchromatin
Creb1,Unknown,Unknown
Creb3l1,Euchromatin,Euchromatin
Creb3l2,Euchromatin,Unknown
Crebbp,Unknown,Euchromatin
Crebl2,Unknown,Unknown
Crebrf,Unknown,Unknown
Crebzf,Unknown,Unknown
Creg1,Euchromatin,Unknown
Creg2,Euchromatin,Unknown
Crem,Unknown,Unknown
Crh,Unknown,Unknown
Crkl,Euchromatin,Unknown
Crlf2,Unknown,Unknown
Crls1,Unknown,Unknown
Crmp1,Euchromatin,Unknown
Crocc,Euchromatin,Euchromatin
Crtc1,Euchromatin,Euchromatin
Crtc2,Euchromatin,Euchromatin
Cry1,Unknown,Unknown
Cry2,Euchromatin,Euchromatin
Crybg1,Unknown,Unknown
Crygn,Euchromatin,Unknown
Cryz,Unknown,Unknown
Cs,Euchromatin,Euchromatin
Csde1,Unknown,Unknown
Csmd2,Euchromatin,Unknown
Csmd3,Heterochromatin,Heterochromatin
Csnk1a1,Heterochromatin,Heterochromatin
Csnk1e,Euchromatin,Euchromatin
Csnk1g1,Unknown,Unknown
Csnk1g3,Unknown,Unknown
Csnk2a1,Unknown,Unknown
Csnk2b,Euchromatin,Euchromatin
Csrnp1,Euchromatin,Euchromatin
Csrp2,Unknown,Unknown
Cst3,Unknown,Unknown
Cstb,Euchromatin,Euchromatin
Cstf1,Euchromatin,Euchromatin
Cstf2,Unknown,Unknown
Cstf2t,Unknown,Unknown
Cstf3,Unknown,Unknown
Ctbp1,Euchromatin,Unknown
Ctbs,Euchromatin,Unknown
Ctdp1,Euchromatin,Unknown
Ctdsp1,Euchromatin,Euchromatin
Ctdsp2,Euchromatin,Euchromatin
Ctnna2,Unknown,Unknown
Ctnna3,Unknown,Unknown
Ctnnal1,Unknown,Unknown
Ctnnbip1,Euchromatin,Unknown
Ctnnbl1,Euchromatin,Unknown
Ctnnd2,Unknown,Heterochromatin
Ctsb,Euchromatin,Euchromatin
Ctsd,Euchromatin,Euchromatin
Ctsz,Euchromatin,Euchromatin
Cttnbp2nl,Unknown,Unknown
Ctxnd1,Unknown,Unknown
Cuedc2,Euchromatin,Euchromatin
Cul2,Unknown,Euchromatin
Cul4b,Unknown,Unknown
Cuta,Euchromatin,Euchromatin
Cx3cl1,Euchromatin,Unknown
Cxcl12,Unknown,Unknown
Cxxc1,Unknown,Unknown
Cyb5r1,Unknown,Unknown
Cyb5r3,Euchromatin,Euchromatin
Cyb5r4,Unknown,Heterochromatin
Cycs,Unknown,Unknown
Cyld,Euchromatin,Unknown
Cyp26a1,Unknown,Unknown
Cyp27b1,Euchromatin,Euchromatin
Cyp46a1,Euchromatin,Unknown
Cyp4v3,Unknown,Unknown
Cyp51,Unknown,Euchromatin
Cyren,Euchromatin,Unknown
Cyrib,Unknown,Unknown
Cyth1,Euchromatin,Euchromatin
Cyth2,Euchromatin,Euchromatin
D030028A08Rik,Euchromatin,Euchromatin
D030047H15Rik,Euchromatin,Unknown
D030056L22Rik,Unknown,Unknown
D11Wsu47e,Euchromatin,Euchromatin
D130017N08Rik,Unknown,Unknown
D130020L05Rik,Unknown,Unknown
D630003M21Rik,Euchromatin,Euchromatin
D8Ertd738e,Euchromatin,Euchromatin
Daam1,Unknown,Unknown
Dab1,Unknown,Unknown
Dact2,Euchromatin,Unknown
Dact3,Euchromatin,Euchromatin
Dagla,Euchromatin,Unknown
Dalrd3,Euchromatin,Euchromatin
Dancr,Euchromatin,Unknown
Dap,Euchromatin,Unknown
Dapk3,Euchromatin,Euchromatin
Dars2,Unknown,Unknown
Daxx,Euchromatin,Euchromatin
Dazap1,Euchromatin,Euchromatin
Dazl,Unknown,Unknown
Dbi,Euchromatin,Unknown
Dbil5,Unknown,Unknown
Dbndd2,Euchromatin,Unknown
Dbp,Euchromatin,Euchromatin
Dbr1,Unknown,Unknown
Dcaf1,Unknown,Unknown
Dcaf10,Unknown,Unknown
Dcaf11,Euchromatin,Euchromatin
Dcaf12,Euchromatin,Euchromatin
Dcaf12l1,Heterochromatin,Unknown
Dcaf13,Unknown,Unknown
Dcaf7,Euchromatin,Unknown
Dcaf8,Unknown,Unknown
Dcakd,Euchromatin,Unknown
Dcbld2,Unknown,Unknown
Dcdc2a,Unknown,Unknown
Dchs2,Unknown,Unknown
Dcp1a,Unknown,Unknown
Dcp2,Unknown,Unknown
Dctn1,Euchromatin,Euchromatin
Dctn4,Unknown,Unknown
Dctpp1,Euchromatin,Euchromatin
Dcun1d3,Unknown,Unknown
Dcxr,Euchromatin,Euchromatin
Dda1,Euchromatin,Euchromatin
Ddb1,Euchromatin,Unknown
Ddb2,Unknown,Unknown
Ddias,Heterochromatin,Unknown
Ddit3,Euchromatin,Euchromatin
Ddit4,Euchromatin,Unknown
Ddit4l,Unknown,Unknown
Ddn,Euchromatin,Euchromatin
Ddost,Euchromatin,Euchromatin
Ddrgk1,Euchromatin,Euchromatin
Ddx10,Heterochromatin,Unknown
Ddx17,Euchromatin,Euchromatin
Ddx18,Unknown,Euchromatin
Ddx19a,Euchromatin,Euchromatin
Ddx19b,Unknown,Unknown
Ddx20,Unknown,Unknown
Ddx24,Unknown,Unknown
Ddx39a,Unknown,Unknown
Ddx39b,Euchromatin,Euchromatin
Ddx3x,Unknown,Unknown
Ddx4,Unknown,Unknown
Ddx41,Euchromatin,Euchromatin
Ddx5,Unknown,Unknown
Ddx50,Unknown,Euchromatin
Ddx52,Unknown,Unknown
Ddx56,Euchromatin,Euchromatin
Deaf1,Euchromatin,Unknown
Def8,Euchromatin,Euchromatin
Degs1,Unknown,Unknown
Dennd4a,Unknown,Unknown
Dennd4c,Unknown,Unknown
Dennd6a,Unknown,Unknown
Denr,Unknown,Unknown
Depdc1b,Unknown,Unknown
Deptor,Unknown,Unknown
Derl1,Unknown,Unknown
Derl2,Unknown,Unknown
Det1,Euchromatin,Unknown
Dgat1,Euchromatin,Euchromatin
Dgat2,Euchromatin,Unknown
Dgcr2,Euchromatin,Euchromatin
Dgke,Euchromatin,Unknown
Dgkq,Euchromatin,Unknown
Dgkz,Euchromatin,Euchromatin
Dguok,Unknown,Unknown
Dhcr7,Euchromatin,Unknown
Dhfr,Unknown,Unknown
Dhodh,Euchromatin,Unknown
Dhrs1,Euchromatin,Unknown
Dhrs11,Euchromatin,Unknown
Dhrs13os,Unknown,Unknown
Dhrs3,Unknown,Unknown
Dhx15,Heterochromatin,Heterochromatin
Dhx16,Euchromatin,Euchromatin
Dhx29,Unknown,Unknown
Dhx33,Unknown,Unknown
Dhx34,Euchromatin,Euchromatin
Dhx35,Euchromatin,Unknown
Dhx37,Euchromatin,Euchromatin
Dhx40,Unknown,Unknown
Dhx57,Unknown,Unknown
Dhx8,Euchromatin,Euchromatin
Dhx9,Unknown,Unknown
Diaph1,Unknown,Unknown
Diaph2,Unknown,Unknown
Dipk1a,Unknown,Euchromatin
Dipk2a,Unknown,Heterochromatin
Disp3,Euchromatin,Unknown
Dkc1,Unknown,Unknown
Dkk3,Euchromatin,Unknown
Dlec1,Euchromatin,Euchromatin
Dleu2,Unknown,Unknown
Dlg1,Unknown,Unknown
Dlg3,Unknown,Unknown
Dlg4,Euchromatin,Euchromatin
Dlgap1,Unknown,Unknown
Dlgap4,Euchromatin,Unknown
Dlx3,Euchromatin,Euchromatin
Dlx4,Euchromatin,Euchromatin
Dmac1,Heterochromatin,Heterochromatin
Dmac2,Euchromatin,Euchromatin
Dmtf1,Unknown,Unknown
Dmtn,Euchromatin,Euchromatin
Dmwd,Euchromatin,Euchromatin
Dmxl1,Unknown,Unknown
Dnah10,Euchromatin,Euchromatin
Dnai1,Unknown,Unknown
Dnai7,Unknown,Unknown
Dnaja3,Euchromatin,Euchromatin
Dnajb11,Euchromatin,Unknown
Dnajb12,Euchromatin,Euchromatin
Dnajb2,Euchromatin,Euchromatin
Dnajb3,Euchromatin,Euchromatin
Dnajb5,Euchromatin,Unknown
Dnajb6,Euchromatin,Unknown
Dnajc13,Unknown,Unknown
Dnajc16,Euchromatin,Euchromatin
Dnajc19,Heterochromatin,Heterochromatin
Dnajc22,Euchromatin,Unknown
Dnajc24,Unknown,Unknown
Dnajc3,Euchromatin,Unknown
Dnajc30,Euchromatin,Euchromatin
Dnajc5,Unknown,Unknown
Dnm1,Euchromatin,Euchromatin
Dnm2,Euchromatin,Euchromatin
Dnm3,Unknown,Unknown
Dnmt1,Euchromatin,Euchromatin
Dnmt3a,Euchromatin,Unknown
Dnpep,Unknown,Unknown
Dnph1,Euchromatin,Euchromatin
Dnttip2,Unknown,Unknown
Dock1,Euchromatin,Unknown
Dock4,Unknown,Unknown
Dock5,Unknown,Unknown
Dock9,Unknown,Unknown
Dohh,Euchromatin,Euchromatin
Dok1,Euchromatin,Unknown
Dolpp1,Euchromatin,Euchromatin
Dop1b,Euchromatin,Euchromatin
Dot1l,Euchromatin,Euchromatin
Dpagt1,Euchromatin,Euchromatin
Dpf1,Euchromatin,Euchromatin
Dph2,Euchromatin,Euchromatin
Dph3,Unknown,Unknown
Dph6,Heterochromatin,Heterochromatin
Dpp3,Euchromatin,Euchromatin
Dpp6,Unknown,Unknown
Dpp8,Unknown,Unknown
Dpy19l2,Unknown,Unknown
Dpy19l3,Unknown,Unknown
Dpy30,Euchromatin,Euchromatin
Dpysl4,Euchromatin,Unknown
Dram1,Unknown,Unknown
Dram2,Heterochromatin,Heterochromatin
Drosha,Unknown,Unknown
Dsel,Heterochromatin,Heterochromatin
Dsn1,Euchromatin,Euchromatin
Dstn,Euchromatin,Unknown
Dtd1,Unknown,Unknown
Dtl,Unknown,Unknown
Dtnbp1,Unknown,Unknown
Dtwd1,Unknown,Unknown
Dtwd2,Unknown,Unknown
Dtx1,Euchromatin,Euchromatin
Dtymk,Euchromatin,Euchromatin
Dubr,Unknown,Heterochromatin
Dus1l,Euchromatin,Euchromatin
Dus2,Euchromatin,Euchromatin
Dus3l,Euchromatin,Euchromatin
Dusp1,Euchromatin,Unknown
Dusp10,Unknown,Unknown
Dusp12,Unknown,Unknown
Dusp3,Euchromatin,Unknown
Dusp6,Unknown,Unknown
Dvl1,Euchromatin,Unknown
Dvl2,Euchromatin,Euchromatin
Dydc1,Unknown,Unknown
Dym,Unknown,Euchromatin
Dync1i1,Unknown,Unknown
Dync1li1,Unknown,Unknown
Dync1li2,Euchromatin,Unknown
Dync2h1,Unknown,Unknown
Dynlt2b,Unknown,Unknown
Dyrk1a,Euchromatin,Unknown
Dyrk1b,Euchromatin,Euchromatin
Dyrk2,Unknown,Unknown
Dysf,Euchromatin,Unknown
Dzank1,Unknown,Unknown
E2f3,Euchromatin,Unknown
E4f1,Euchromatin,Unknown
Eapp,Unknown,Unknown
Ebag9,Heterochromatin,Unknown
Ech1,Euchromatin,Euchromatin
Eci1,Euchromatin,Euchromatin
Eci2,Unknown,Unknown
Ect2,Unknown,Unknown
Edem3,Unknown,Heterochromatin
Edrf1,Unknown,Unknown
Eed,Unknown,Unknown
Eef1a1,Unknown,Euchromatin
Eef1e1,Unknown,Unknown
Eef1g,Euchromatin,Unknown
Eef2,Euchromatin,Euchromatin
Eef2k,Euchromatin,Unknown
Eef2kmt,Euchromatin,Unknown
Efcab2,Unknown,Unknown
Efcab7,Unknown,Unknown
Efhc1,Unknown,Unknown
Efl1,Heterochromatin,Heterochromatin
Efna5,Unknown,Unknown
Efnb1,Euchromatin,Unknown
Efr3a,Unknown,Unknown
Eftud2,Euchromatin,Unknown
Egfem1,Unknown,Unknown
Egln2,Euchromatin,Euchromatin
Egr1,Euchromatin,Unknown
Ehbp1l1,Euchromatin,Euchromatin
Ehd1,Euchromatin,Euchromatin
Ehd3,Unknown,Unknown
Ehd4,Unknown,Unknown
Ehmt2,Euchromatin,Euchromatin
Eif1,Euchromatin,Euchromatin
Eif2a,Unknown,Unknown
Eif2ak4,Unknown,Unknown
Eif2b1,Euchromatin,Euchromatin
Eif2b2,Euchromatin,Unknown
Eif2b4,Euchromatin,Unknown
Eif2s1,Unknown,Heterochromatin
Eif2s2,Unknown,Unknown
Eif2s3x,Unknown,Unknown
Eif3a,Heterochromatin,Unknown
Eif3c,Euchromatin,Euchromatin
Eif3e,Heterochromatin,Unknown
Eif3h,Unknown,Unknown
Eif3k,Euchromatin,Euchromatin
Eif3m,Unknown,Heterochromatin
Eif4a1,Euchromatin,Euchromatin
Eif4a2,Unknown,Unknown
Eif4a3,Euchromatin,Euchromatin
Eif4b,Euchromatin,Unknown
Eif4e,Unknown,Unknown
Eif4e3,Unknown,Unknown
Eif4ebp2,Euchromatin,Euchromatin
Eif4enif1,Unknown,Unknown
Eif4g1,Euchromatin,Euchromatin
Eif4g2,Unknown,Unknown
Eif5,Euchromatin,Unknown
Eif5a,Euchromatin,Unknown
Eif5b,Unknown,Unknown
Elac2,Euchromatin,Unknown
Elavl2,Unknown,Unknown
Elavl4,Unknown,Unknown
Elf1,Unknown,Unknown
Ell,Euchromatin,Euchromatin
Elmod1,Unknown,Unknown
Elmod2,Unknown,Unknown
Eloa,Euchromatin,Euchromatin
Elovl4,Unknown,Unknown
Elovl5,Unknown,Unknown
Elovl6,Unknown,Unknown
Elp1,Unknown,Unknown
Elp5,Euchromatin,Euchromatin
Emc10,Euchromatin,Euchromatin
Emd,Unknown,Unknown
Eme1,Euchromatin,Euchromatin
Eml4,Euchromatin,Heterochromatin
Eml6,Unknown,Unknown
Emsy,Unknown,Unknown
Emx1,Euchromatin,Unknown
Enho,Euchromatin,Unknown
Eno1,Euchromatin,Euchromatin
Eno4,Euchromatin,Unknown
Enox1,Unknown,Unknown
Enpp2,Unknown,Unknown
Entpd1,Unknown,Unknown
Entpd6,Unknown,Unknown
Entpd7,Euchromatin,Unknown
Eny2,Unknown,Unknown
Ep300,Unknown,Unknown
Epb41,Euchromatin,Unknown
Epb41l4aos,Unknown,Unknown
Epb41l4b,Euchromatin,Euchromatin
Epg5,Unknown,Unknown
Epha4,Unknown,Unknown
Epha6,Heterochromatin,Heterochromatin
Epha7,Heterochromatin,Heterochromatin
Ephb1,Unknown,Unknown
Ephb3,Euchromatin,Unknown
Epm2a,Unknown,Unknown
Epn1,Euchromatin,Euchromatin
Epn2,Euchromatin,Unknown
Epop,Euchromatin,Euchromatin
Eprs1,Unknown,Unknown
Eps8,Unknown,Unknown
Erap1,Unknown,Unknown
Erbin,Unknown,Unknown
Erc1,Unknown,Unknown
Erc2,Unknown,Unknown
Ercc1,Euchromatin,Euchromatin
Ercc4,Unknown,Unknown
Ercc6l2,Unknown,Heterochromatin
Erfe,Euchromatin,Unknown
Erg,Euchromatin,Unknown
Ergic2,Unknown,Unknown
Eri3,Euchromatin,Unknown
Erich2,Unknown,Unknown
Ero1b,Unknown,Unknown
Erp29,Euchromatin,Unknown
Esco1,Unknown,Unknown
Espl1,Euchromatin,Euchromatin
Espn,Euchromatin,Euchromatin
Esrra,Euchromatin,Euchromatin
Ess2,Euchromatin,Unknown
Esyt1,Euchromatin,Euchromatin
Esyt2,Unknown,Unknown
Etf1,Unknown,Unknown
Etfdh,Unknown,Unknown
Etl4,Unknown,Unknown
Etnk1,Unknown,Unknown
Etohd2,Euchromatin,Unknown
Ets1,Unknown,Unknown
Etv5,Euchromatin,Unknown
Eva1c,Euchromatin,Unknown
Evi5,Unknown,Unknown
Evi5l,Unknown,Unknown
Ewsr1,Euchromatin,Euchromatin
Exd1,Unknown,Unknown
Exo1,Unknown,Unknown
Exoc3,Unknown,Unknown
Exosc2,Euchromatin,Unknown
Exosc3,Unknown,Unknown
Exosc5,Euchromatin,Euchromatin
Extl3,Euchromatin,Unknown
Eya1,Heterochromatin,Heterochromatin
Eya3,Euchromatin,Unknown
Eya4,Unknown,Unknown
F8a,Unknown,Unknown
Faap20,Euchromatin,Euchromatin
Fads2,Euchromatin,Unknown
Fads6,Euchromatin,Euchromatin
Faf2,Unknown,Euchromatin
Faim,Euchromatin,Unknown
Fam120c,Unknown,Unknown
Fam131a,Euchromatin,Euchromatin
Fam131b,Unknown,Unknown
Fam136a,Euchromatin,Unknown
Fam163a,Euchromatin,Unknown
Fam167a,Euchromatin,Euchromatin
Fam168a,Unknown,Unknown
Fam171a2,Euchromatin,Euchromatin
Fam193a,Unknown,Unknown
Fam210a,Unknown,Unknown
Fam210b,Euchromatin,Unknown
Fam220a,Euchromatin,Unknown
Fam222a,Euchromatin,Euchromatin
Fam32a,Euchromatin,Unknown
Fam3a,Unknown,Unknown
Fam43a,Unknown,Unknown
Fam50a,Euchromatin,Unknown
Fam72a,Unknown,Heterochromatin
Fam76a,Euchromatin,Unknown
Fam76b,Heterochromatin,Heterochromatin
Fam81a,Euchromatin,Unknown
Fam90a1b,Unknown,Unknown
Fam91a1,Unknown,Unknown
Fam98a,Unknown,Unknown
Fancc,Unknown,Unknown
Fancd2,Unknown,Unknown
Fance,Euchromatin,Euchromatin
Fancf,Heterochromatin,Heterochromatin
Fancl,Heterochromatin,Unknown
Far1,Unknown,Unknown
Farsa,Euchromatin,Unknown
Farsb,Unknown,Unknown
Fasn,Euchromatin,Euchromatin
Fat1,Unknown,Unknown
Fau,Euchromatin,Euchromatin
Fbh1,Unknown,Unknown
Fbln5,Unknown,Unknown
Fbrs,Unknown,Euchromatin
Fbxl14,Euchromatin,Unknown
Fbxl15,Euchromatin,Euchromatin
Fbxl16,Euchromatin,Euchromatin
Fbxl17,Unknown,Unknown
Fbxl19,Euchromatin,Unknown
Fbxl2,Euchromatin,Euchromatin
Fbxl21,Unknown,Unknown
Fbxl22,Unknown,Unknown
Fbxl3,Unknown,Unknown
Fbxl9,Unknown,Unknown
Fbxo11,Unknown,Unknown
Fbxo15,Unknown,Unknown
Fbxo30,Heterochromatin,Unknown
Fbxo31,Euchromatin,Euchromatin
Fbxo33,Unknown,Unknown
Fbxo34,Unknown,Unknown
Fbxo44,Euchromatin,Euchromatin
Fbxo45,Unknown,Unknown
Fbxo46,Euchromatin,Euchromatin
Fbxo47,Unknown,Unknown
Fbxo5,Unknown,Unknown
Fbxo6,Euchromatin,Euchromatin
Fbxo7,Unknown,Unknown
Fbxo9,Unknown,Unknown
Fbxw11,Euchromatin,Euchromatin
Fbxw5,Euchromatin,Euchromatin
Fbxw8,Euchromatin,Euchromatin
Fcho1,Euchromatin,Euchromatin
Fcho2,Unknown,Unknown
Fchsd2,Euchromatin,Unknown
Fcsk,Euchromatin,Euchromatin
Fdft1,Euchromatin,Unknown
Fdps,Euchromatin,Euchromatin
Fdxacb1,Unknown,Unknown
Fem1a,Euchromatin,Euchromatin
Fem1b,Euchromatin,Euchromatin
Fem1c,Unknown,Unknown
Fer,Unknown,Unknown
Fezf2,Unknown,Unknown
Fgd6,Unknown,Unknown
Fgf12,Unknown,Unknown
Fgf15,Euchromatin,Euchromatin
Fgf18,Euchromatin,Unknown
Fgf2,Unknown,Heterochromatin
Fgf9,Unknown,Unknown
Fgfr1,Euchromatin,Unknown
Fgfr1op2,Heterochromatin,Unknown
Fgfrl1,Euchromatin,Unknown
Fhip1b,Unknown,Unknown
Fignl1,Unknown,Unknown
Firrm,Unknown,Unknown
Fitm2,Euchromatin,Unknown
Fkbp5,Euchromatin,Euchromatin
Flii,Euchromatin,Euchromatin
Flna,Unknown,Unknown
Flot1,Euchromatin,Euchromatin
Flot2,Unknown,Unknown
Flt1,Euchromatin,Unknown
Flvcr1,Unknown,Unknown
Flvcr2,Euchromatin,Euchromatin
Fmc1,Unknown,Unknown
Fnbp4,Unknown,Unknown
Fntb,Unknown,Unknown
Focad,Unknown,Unknown
Fos,Euchromatin,Unknown
Fosb,Euchromatin,Euchromatin
Fosl2,Euchromatin,Unknown
Foxa2,Unknown,Unknown
Foxf1,Euchromatin,Euchromatin
Foxl1,Euchromatin,Euchromatin
Foxn3,Unknown,Unknown
Foxo3,Euchromatin,Unknown
Foxo6,Euchromatin,Unknown
Foxp2,Unknown,Unknown
Foxred1,Unknown,Unknown
Fpgs,Euchromatin,Euchromatin
Frmd4b,Unknown,Unknown
Frmd6,Unknown,Unknown
Frs3,Euchromatin,Unknown
Fryl,Unknown,Unknown
Fscn1,Euchromatin,Euchromatin
Fsip1,Unknown,Unknown
Fstl4,Unknown,Unknown
Fth1,Euchromatin,Unknown
Ftl1,Euchromatin,Euchromatin
Fubp1,Heterochromatin,Heterochromatin
Fubp3,Euchromatin,Unknown
Fuca1,Euchromatin,Euchromatin
Fus,Unknown,Unknown
Fut8,Unknown,Unknown
Fuz,Euchromatin,Euchromatin
Fxr2,Euchromatin,Euchromatin
Fzd3,Unknown,Unknown
Fzr1,Euchromatin,Euchromatin
G3bp1,Euchromatin,Unknown
G3bp2,Unknown,Unknown
Gaa,Euchromatin,Euchromatin
Gabarap,Euchromatin,Euchromatin
Gabpb1,Unknown,Unknown
Gabra2,Heterochromatin,Unknown
Gabra4,Unknown,Unknown
Gabrb1,Unknown,Unknown
Gabrg3,Unknown,Unknown
Gadd45b,Euchromatin,Euchromatin
Gale,Euchromatin,Euchromatin
Galnt12,Euchromatin,Euchromatin
Galnt13,Unknown,Unknown
Galnt18,Unknown,Unknown
Galnt2,Euchromatin,Unknown
Gan,Euchromatin,Euchromatin
Gapdh,Euchromatin,Euchromatin
Gar1,Unknown,Unknown
Garem1,Unknown,Unknown
Garnl3,Unknown,Unknown
Gas1,Unknown,Unknown
Gas2l1,Euchromatin,Unknown
Gas5,Unknown,Unknown
Gata2,Euchromatin,Euchromatin
Gatad2a,Unknown,Unknown
Gatad2b,Euchromatin,Euchromatin
Gatc,Euchromatin,Euchromatin
Gatd1,Euchromatin,Euchromatin
Gatd3a,Euchromatin,Euchromatin
Gcc2,Unknown,Euchromatin
Gde1,Euchromatin,Unknown
Gdf1,Euchromatin,Euchromatin
Gdf10,Euchromatin,Unknown
Gdf15,Euchromatin,Euchromatin
Gdf7,Euchromatin,Euchromatin
Gdf9,Unknown,Unknown
Gdnf,Unknown,Unknown
Gemin2,Unknown,Unknown
Gemin4,Unknown,Unknown
Gemin7,Euchromatin,Euchromatin
Get1,Euchromatin,Unknown
Gfm2,Unknown,Unknown
Gfpt2,Euchromatin,Unknown
Gfra1,Unknown,Unknown
Gga1,Euchromatin,Euchromatin
Ggct,Unknown,Unknown
Ggn,Euchromatin,Euchromatin
Ggps1,Unknown,Unknown
Ggt7,Unknown,Unknown
Ggta1,Euchromatin,Unknown
Ghitm,Unknown,Unknown
Gigyf2,Unknown,Unknown
Gins2,Euchromatin,Euchromatin
Gins3,Unknown,Unknown
Gins4,Unknown,Unknown
Gipc1,Euchromatin,Euchromatin
Gk,Unknown,Unknown
Glp1r,Euchromatin,Unknown
Glrx2,Unknown,Unknown
Gls,Heterochromatin,Heterochromatin
Glt28d2,Unknown,Unknown
Gltp,Euchromatin,Euchromatin
Gmeb1,Euchromatin,Euchromatin
Gmeb2,Unknown,Unknown
Gmnc,Heterochromatin,Heterochromatin
Gmppb,Unknown,Unknown
Gmpr2,Unknown,Unknown
Gna12,Euchromatin,Unknown
Gnao1,Euchromatin,Unknown
Gnas,Euchromatin,Euchromatin
Gnb1,Euchromatin,Euchromatin
Gnb2,Euchromatin,Euchromatin
Gnb4,Euchromatin,Unknown
Gng4,Unknown,Unknown
Gng7,Euchromatin,Euchromatin
Gnl3l,Unknown,Unknown
Gnpda1,Euchromatin,Unknown
Gnpnat1,Euchromatin,Unknown
Gns,Euchromatin,Unknown
Golga5,Unknown,Unknown
Golga7,Unknown,Unknown
Golgb1,Unknown,Unknown
Gon7,Unknown,Unknown
Gorasp2,Unknown,Unknown
Got1,Euchromatin,Unknown
Got2,Unknown,Euchromatin
Gp1bb,Euchromatin,Euchromatin
Gpaa1,Euchromatin,Euchromatin
Gpat3,Unknown,Unknown
Gpatch2,Unknown,Heterochromatin
Gpatch3,Euchromatin,Euchromatin
Gpatch8,Euchromatin,Euchromatin
Gpbp1,Unknown,Unknown
Gpc4,Unknown,Unknown
Gpc5,Unknown,Unknown
Gpc6,Unknown,Unknown
Gpcpd1,Unknown,Unknown
Gpd1l,Euchromatin,Unknown
Gphn,Heterochromatin,Unknown
Gpi1,Euchromatin,Euchromatin
Gpn1,Unknown,Unknown
Gpn2,Euchromatin,Euchromatin
Gpn3,Euchromatin,Euchromatin
Gpr107,Euchromatin,Euchromatin
Gpr137,Euchromatin,Euchromatin
Gpr149,Unknown,Unknown
Gpr153,Euchromatin,Euchromatin
Gpr155,Unknown,Heterochromatin
Gpr176,Unknown,Unknown
Gpr180,Unknown,Unknown
Gpr19,Unknown,Unknown
Gpr3,Euchromatin,Euchromatin
Gpr45,Unknown,Unknown
Gpr50,Unknown,Unknown
Gpr85,Unknown,Unknown
Gpr89,Unknown,Unknown
Gprasp1,Unknown,Unknown
Gprasp2,Unknown,Unknown
Gprin3,Heterochromatin,Heterochromatin
Gpx1,Euchromatin,Euchromatin
Gpx4,Euchromatin,Euchromatin
Gpx7,Euchromatin,Unknown
Gramd1c,Unknown,Unknown
Gramd2b,Unknown,Unknown
Gramd4,Euchromatin,Euchromatin
Grb10,Unknown,Unknown
Grhl1,Unknown,Unknown
Grid1,Euchromatin,Unknown
Grid2,Heterochromatin,Heterochromatin
Grik1,Heterochromatin,Unknown
Grik2,Heterochromatin,Unknown
Grik3,Euchromatin,Euchromatin
Grin1,Euchromatin,Euchromatin
Grin1os,Euchromatin,Euchromatin
Grin2a,Unknown,Unknown
Grk4,Unknown,Unknown
Grk5,Unknown,Unknown
Grk6,Euchromatin,Euchromatin
Grpel1,Euchromatin,Unknown
Grpel2,Euchromatin,Unknown
Gsg1l,Euchromatin,Unknown
Gsk3b,Unknown,Unknown
Gsn,Euchromatin,Unknown
Gss,Unknown,Unknown
Gstcd,Heterochromatin,Heterochromatin
Gstz1,Euchromatin,Unknown
Gt(ROSA)26Sor,Unknown,Heterochromatin
Gtdc1,Unknown,Heterochromatin
Gtf2a1,Unknown,Unknown
Gtf2b,Unknown,Unknown
Gtf2f1,Euchromatin,Euchromatin
Gtf2h1,Unknown,Unknown
Gtf2h2,Unknown,Unknown
Gtf2i,Euchromatin,Euchromatin
Gtf2ird1,Euchromatin,Euchromatin
Gtf2ird2,Euchromatin,Euchromatin
Gtf3a,Euchromatin,Euchromatin
Gtf3c2,Euchromatin,Unknown
Gtf3c5,Euchromatin,Euchromatin
Gtpbp1,Euchromatin,Euchromatin
Gtpbp10,Unknown,Heterochromatin
Gtpbp2,Unknown,Euchromatin
Gtpbp6,Unknown,Euchromatin
Gtse1,Euchromatin,Euchromatin
Gucy1a2,Unknown,Euchromatin
Guf1,Heterochromatin,Heterochromatin
Guk1,Euchromatin,Euchromatin
Gulp1,Heterochromatin,Heterochromatin
Gusb,Euchromatin,Euchromatin
Gys1,Euchromatin,Euchromatin
Gzf1,Unknown,Unknown
H1f1,Unknown,Unknown
H1f2,Unknown,Unknown
H1f4,Unknown,Unknown
H2-D1,Euchromatin,Unknown
H2-Q4,Euchromatin,Unknown
