	A	A->B	B->A	B
NSC_GFP	18.72330173854267	36.5574784755336	28.96884780325853	15.750371982665204
NSC_M2	9.325863067107687	45.14827733651693	34.64817968578393	10.87767991059146
Neu_GFP	13.887913867901283	37.11289982286546	36.81790631282725	12.18127999640601
Neu_M2	13.090683540350268	37.164038167867794	37.80570861051375	11.939569681268193
